ARP-Operacion, ARP-MAC-Src, ARP-MAC-Dst, ARP-IP-Src, ARP-IP-Dst, Ether-MAC-Dst, Ether-MAC-Src, Tiempo
who-has, ac:cf:5c:c2:c6:80, 00:00:00:00:00:00, 10.254.31.35, 10.254.31.35, ff:ff:ff:ff:ff:ff, ac:cf:5c:c2:c6:80, 1398727930
who-has, ac:cf:5c:c2:c6:80, 00:00:00:00:00:00, 10.254.31.35, 10.254.31.1, ff:ff:ff:ff:ff:ff, ac:cf:5c:c2:c6:80, 1398727930
who-has, ac:cf:5c:c2:c6:80, 00:00:00:00:00:00, 10.254.31.35, 169.254.255.255, ff:ff:ff:ff:ff:ff, ac:cf:5c:c2:c6:80, 1398727930
who-has, ac:cf:5c:c2:c6:80, 00:00:00:00:00:00, 10.254.31.35, 10.254.31.35, ff:ff:ff:ff:ff:ff, ac:cf:5c:c2:c6:80, 1398727936
who-has, ac:cf:5c:c2:c6:80, 00:00:00:00:00:00, 10.254.31.35, 169.254.255.255, ff:ff:ff:ff:ff:ff, ac:cf:5c:c2:c6:80, 1398727936
who-has, ac:cf:5c:c2:c6:80, 00:00:00:00:00:00, 10.254.31.35, 10.254.31.1, ff:ff:ff:ff:ff:ff, ac:cf:5c:c2:c6:80, 1398727936
who-has, ac:cf:5c:c2:c6:80, 00:00:00:00:00:00, 10.254.31.35, 10.254.31.35, ff:ff:ff:ff:ff:ff, ac:cf:5c:c2:c6:80, 1398727937
who-has, ac:cf:5c:c2:c6:80, 00:00:00:00:00:00, 10.254.31.35, 10.254.31.1, ff:ff:ff:ff:ff:ff, ac:cf:5c:c2:c6:80, 1398727937
who-has, ac:cf:5c:c2:c6:80, 00:00:00:00:00:00, 10.254.31.35, 10.254.31.1, ff:ff:ff:ff:ff:ff, ac:cf:5c:c2:c6:80, 1398727937
who-has, 70:ca:9b:77:a7:b5, 00:00:00:00:00:00, 10.254.31.1, 10.254.31.36, ff:ff:ff:ff:ff:ff, 70:ca:9b:77:a7:b5, 1398727972
who-has, 88:30:8a:1f:e0:f5, 00:00:00:00:00:00, 10.254.31.36, 10.254.31.1, ff:ff:ff:ff:ff:ff, 88:30:8a:1f:e0:f5, 1398727974
who-has, 70:ca:9b:77:a7:b5, 00:00:00:00:00:00, 10.254.31.1, 10.254.31.37, ff:ff:ff:ff:ff:ff, 70:ca:9b:77:a7:b5, 1398728033
who-has, 18:00:2d:02:25:72, 00:00:00:00:00:00, 10.254.31.37, 10.254.31.1, ff:ff:ff:ff:ff:ff, 18:00:2d:02:25:72, 1398728076
who-has, 3c:df:bd:b3:f2:44, 00:00:00:00:00:00, 10.254.31.227, 10.254.31.1, ff:ff:ff:ff:ff:ff, 3c:df:bd:b3:f2:44, 1398728109
who-has, 3c:df:bd:b3:f2:44, 00:00:00:00:00:00, 10.254.31.227, 10.254.31.1, ff:ff:ff:ff:ff:ff, 3c:df:bd:b3:f2:44, 1398728109
who-has, 3c:df:bd:b3:f2:44, 00:00:00:00:00:00, 10.254.31.227, 10.254.31.1, ff:ff:ff:ff:ff:ff, 3c:df:bd:b3:f2:44, 1398728109
who-has, 3c:df:bd:b3:f2:44, 00:00:00:00:00:00, 10.254.31.227, 10.254.31.1, ff:ff:ff:ff:ff:ff, 3c:df:bd:b3:f2:44, 1398728109
who-has, 3c:df:bd:b3:f2:44, 00:00:00:00:00:00, 10.254.31.227, 10.254.31.1, ff:ff:ff:ff:ff:ff, 3c:df:bd:b3:f2:44, 1398728110
who-has, 70:ca:9b:77:a7:b5, 00:00:00:00:00:00, 10.254.31.1, 10.254.31.38, ff:ff:ff:ff:ff:ff, 70:ca:9b:77:a7:b5, 1398728346
who-has, b0:c4:e7:d6:a7:57, 00:00:00:00:00:00, 10.254.31.38, 10.254.31.1, ff:ff:ff:ff:ff:ff, b0:c4:e7:d6:a7:57, 1398728348
who-has, 70:ca:9b:77:a7:b5, 00:00:00:00:00:00, 10.254.31.1, 10.254.31.39, ff:ff:ff:ff:ff:ff, 70:ca:9b:77:a7:b5, 1398728353
who-has, 70:ca:9b:77:a7:b5, 00:00:00:00:00:00, 10.254.31.1, 10.254.31.41, ff:ff:ff:ff:ff:ff, 70:ca:9b:77:a7:b5, 1398728439
who-has, 8c:3a:e3:11:84:98, 00:00:00:00:00:00, 10.152.95.4, 10.254.31.1, ff:ff:ff:ff:ff:ff, 8c:3a:e3:11:84:98, 1398728439
who-has, 70:ca:9b:77:a7:b5, 00:00:00:00:00:00, 10.254.31.1, 10.254.31.26, ff:ff:ff:ff:ff:ff, 70:ca:9b:77:a7:b5, 1398728439
who-has, 70:aa:b2:fc:2a:eb, ff:ff:ff:ff:ff:ff, 10.254.31.167, 10.254.31.1, ff:ff:ff:ff:ff:ff, 70:aa:b2:fc:2a:eb, 1398728471
who-has, 70:ca:9b:77:a7:b5, 00:00:00:00:00:00, 10.254.31.1, 10.254.31.42, ff:ff:ff:ff:ff:ff, 70:ca:9b:77:a7:b5, 1398728505
who-has, 7c:d1:c3:6e:24:04, 00:00:00:00:00:00, 0.0.0.0, 10.254.31.42, ff:ff:ff:ff:ff:ff, 7c:d1:c3:6e:24:04, 1398728509
who-has, 7c:d1:c3:6e:24:04, 00:00:00:00:00:00, 0.0.0.0, 10.254.31.42, ff:ff:ff:ff:ff:ff, 7c:d1:c3:6e:24:04, 1398728510
who-has, 7c:d1:c3:6e:24:04, 00:00:00:00:00:00, 10.254.31.42, 10.254.31.42, ff:ff:ff:ff:ff:ff, 7c:d1:c3:6e:24:04, 1398728510
who-has, 7c:d1:c3:6e:24:04, 00:00:00:00:00:00, 10.254.31.42, 10.254.31.42, ff:ff:ff:ff:ff:ff, 7c:d1:c3:6e:24:04, 1398728511
who-has, 7c:d1:c3:6e:24:04, 00:00:00:00:00:00, 10.254.31.42, 10.254.31.42, ff:ff:ff:ff:ff:ff, 7c:d1:c3:6e:24:04, 1398728511
who-has, 7c:d1:c3:6e:24:04, 00:00:00:00:00:00, 10.254.31.42, 169.254.255.255, ff:ff:ff:ff:ff:ff, 7c:d1:c3:6e:24:04, 1398728511
who-has, 7c:d1:c3:6e:24:04, 00:00:00:00:00:00, 10.254.31.42, 10.254.31.1, ff:ff:ff:ff:ff:ff, 7c:d1:c3:6e:24:04, 1398728512
who-has, 68:5d:43:d5:31:d5, 00:00:00:00:00:00, 10.254.31.68, 10.254.31.42, ff:ff:ff:ff:ff:ff, 68:5d:43:d5:31:d5, 1398728512
who-has, 7c:d1:c3:6e:24:04, 00:00:00:00:00:00, 10.254.31.42, 10.254.31.1, ff:ff:ff:ff:ff:ff, 7c:d1:c3:6e:24:04, 1398728512
who-has, 00:24:2c:18:a2:fa, 00:00:00:00:00:00, 10.254.31.172, 10.254.31.42, ff:ff:ff:ff:ff:ff, 00:24:2c:18:a2:fa, 1398728512
who-has, 68:5d:43:d5:31:d5, 00:00:00:00:00:00, 10.254.31.68, 10.254.31.42, 7c:d1:c3:6e:24:04, 68:5d:43:d5:31:d5, 1398728517
who-has, 68:5d:43:d5:31:d5, 00:00:00:00:00:00, 10.254.31.68, 10.254.31.42, 7c:d1:c3:6e:24:04, 68:5d:43:d5:31:d5, 1398728518
who-has, 68:5d:43:d5:31:d5, 00:00:00:00:00:00, 10.254.31.68, 10.254.31.42, 7c:d1:c3:6e:24:04, 68:5d:43:d5:31:d5, 1398728518
who-has, 68:5d:43:d5:31:d5, 00:00:00:00:00:00, 10.254.31.68, 10.254.31.42, 7c:d1:c3:6e:24:04, 68:5d:43:d5:31:d5, 1398728518
who-has, a0:71:a9:a5:8e:0a, 00:00:00:00:00:00, 0.0.0.0, 10.254.31.181, ff:ff:ff:ff:ff:ff, a0:71:a9:a5:8e:0a, 1398728603
who-has, a0:71:a9:a5:8e:0a, 00:00:00:00:00:00, 10.254.31.181, 10.254.31.1, ff:ff:ff:ff:ff:ff, a0:71:a9:a5:8e:0a, 1398728604
who-has, 70:ca:9b:77:a7:b5, 00:00:00:00:00:00, 10.254.31.1, 10.254.31.44, ff:ff:ff:ff:ff:ff, 70:ca:9b:77:a7:b5, 1398728758
